A,B,C,D,E,F,G,H,M,N
111,111,111,111,111,111,111,171,111,111
112,112,112,112,,,,181,112,112
113,113,113,113,,,,191,113,113
121,121,121,121,,,,,121,121
122,122,122,122,,,,,122,122
123,123,123,123,,,,,123,123
131,131,131,131,,,,,131,131
132,132,132,132,,,,,132,132
133,133,133,133,,,,,133,133
141,141,141,141,,,,,141,
142,142,142,142,,,,,142,
143,143,143,143,,,,,143,
151,151,151,151,,,,,151,
152,152,152,152,,,,,152,
153,153,153,153,,,,,153,
161,161,161,161,,,,,161,
162,162,162,162,,,,,162,
163,163,163,163,,,,,163,
171,171,171,171,,,,,,
172,172,172,172,,,,,,
173,173,173,173,,,,,,
181,181,181,181,,,,,,
182,182,182,182,,,,,,
183,183,183,183,,,,,,
191,191,191,191,,,,,,
192,192,192,192,,,,,,
193,193,193,193,,,,,,
201,201,201,201,,,,,,
202,202,202,202,,,,,,
203,203,203,203,,,,,,
211,211,211,211,,,,,,
212,212,212,212,,,,,,
213,213,213,213,,,,,,
221,221,221,221,,,,,,
222,222,222,222,,,,,,
223,223,223,223,,,,,,
231,231,231,231,,,,,,
232,232,232,232,,,,,,
233,233,233,233,,,,,,
241,241,241,241,,,,,,
242,242,242,242,,,,,,
243,243,243,243,,,,,,
251,251,251,251,,,,,,
252,252,252,252,,,,,,
253,253,253,253,,,,,,
261,261,261,261,,,,,,
262,262,262,262,,,,,,
263,263,263,263,,,,,,
271,271,271,271,,,,,,
272,272,272,272,,,,,,
273,273,273,273,,,,,,
281,281,281,281,,,,,,
282,282,282,282,,,,,,
283,283,283,283,,,,,,
291,291,291,291,,,,,,
292,292,292,292,,,,,,
293,293,293,293,,,,,,
301,301,301,301,,,,,,
302,302,302,302,,,,,,
303,303,303,303,,,,,,
311,311,311,311,,,,,,
312,312,312,312,,,,,,
313,313,313,313,,,,,,
321,321,321,321,,,,,,
322,322,322,322,,,,,,
323,323,323,323,,,,,,
331,331,331,331,,,,,,
332,332,332,332,,,,,,
333,333,333,333,,,,,,
341,341,341,341,,,,,,
342,342,342,342,,,,,,
343,343,343,343,,,,,,
351,351,351,351,,,,,,
352,352,352,352,,,,,,
353,353,353,353,,,,,,
361,361,361,361,,,,,,
362,362,362,362,,,,,,
363,363,363,363,,,,,,
371,371,371,371,,,,,,
372,372,372,372,,,,,,
373,373,373,373,,,,,,
381,381,381,381,,,,,,
382,382,382,382,,,,,,
383,383,383,383,,,,,,
391,391,391,391,,,,,,
392,392,392,392,,,,,,
393,393,393,393,,,,,,
401,401,401,401,,,,,,
402,402,402,402,,,,,,
403,403,403,403,,,,,,
411,411,411,411,,,,,,
412,412,412,412,,,,,,
413,413,413,413,,,,,,
421,421,421,421,,,,,,
422,422,422,422,,,,,,
423,423,423,423,,,,,,
431,431,431,431,,,,,,
432,432,432,432,,,,,,
433,433,433,433,,,,,,
441,441,441,441,,,,,,
442,442,442,442,,,,,,
443,443,443,443,,,,,,